razon_social;localidad;provincia;dominio_conocido;rubro_supuesto
Torneria Ricchini Hnos E Hijos S.R.L.;Junin;;;Metalúrgicas / metalmecánica a pedido
Metalurgica Lunardelli S.A.;Villa Constitucion;;;Metalúrgicas / metalmecánica a pedido
Servicios Industriales Metallfeld Sas;Rosario Norte;;;Servicios técnicos y mantenimiento industrial
Pellegrini Gas S.A.;Rosario Sud;;;Instalaciones (eléctricas, termomecánicas, gas, incendio)
Ghione Montaje Industrial S.R.L.;Arias;;;Montajes industriales y estructuras metálicas
Representaciones Sajonia S.A.;Bahia Blanca;;;Distribuidoras de insumos industriales
Metalurgica Industrial Sa;Ramallo;;;Metalúrgicas / metalmecánica a pedido
Seggiaro Montajes Y Servicios S. R. L.;Rosario Sud;;;Montajes industriales y estructuras metálicas
Mecanizados San Miguel S.A.;Pueblo Miguel Torres;;;Metalúrgicas / metalmecánica a pedido
Konjuh Agroindustrial S.R.L.;Los Molinos;;;Agroindustria (proveedores de servicios/insumos)
AGROSERVICIOS SAN FRANCISCO S. A.;VILLANI;;;Agroindustria (proveedores de servicios/insumos)
DISTRIBUIDORA SAN JOSE S.A.S.;LAS VARILLAS;;;Distribuidoras de insumos industriales
AGROSERVICIOS S.A.;SAN JORGE;;;Agroindustria (proveedores de servicios/insumos)
RODAMIENTOS LAGUNA LARGA S.R.L.;LAGUNA LARGA;;;Distribuidoras de insumos industriales
AGROSERVICIOS MEP SRL;CAMILO ALDAO;;;Agroindustria (proveedores de servicios/insumos)
AGROSERVICIOS MUZART S.R.L;CORDOBA;;;Agroindustria (proveedores de servicios/insumos)
AGROSERVICIOS CASA S.A;CORDOBA;;;Agroindustria (proveedores de servicios/insumos)
METALURGICA NE-ZA S.A.S.;LAS VARILLAS;;;Metalúrgicas / metalmecánica a pedido
Metalurgica Y Servicios Rodo S.R.L.;San Nicolas;;;Metalúrgicas / metalmecánica a pedido
Metalurgica Schumacher S. R. L.;Villa Constitucion;;;Metalúrgicas / metalmecánica a pedido
Metalurgica Mario G Fernandez Srl;San Andres;;;Metalúrgicas / metalmecánica a pedido
Mecanizados Bates S.R.L.;Villa Constitucion;;;Metalúrgicas / metalmecánica a pedido
Construcciones Metalicas Srl;San Lorenzo;;;Metalúrgicas / metalmecánica a pedido
E R A Energias Renovables Argentinas Sa;Piamonte;;;Minería y energía (proveedores y contratistas)
Metalurgica Cinalli S. A. S.;Correa;;;Metalúrgicas / metalmecánica a pedido
Metalurgica Ms Roldan S. A. S.;Roldan;;;Metalúrgicas / metalmecánica a pedido
DISTRIBUIDORA PIEMONTE S R L;JUSTINIANO POSSE;;;Distribuidoras de insumos industriales
Tenaglia Rodamientos Srl;Marcos Juarez;;;Distribuidoras de insumos industriales
AGROSERVICIOS LOS ALGARROBOS S.A;MARIA SUSANA;;;Agroindustria (proveedores de servicios/insumos)
EL FORTIN AGROSERVICIOS SRL;EL FORTIN;;;Agroindustria (proveedores de servicios/insumos)
