razon_social;localidad;web;dominio_email;categoria
Simetra Service Srl;Neuquen;simetra.com.ar;simetra.com.ar;B
Cintas Metalicas Moros S.A.;Lanus;moros.com.ar;moros.com.ar;B
Hidraulica C & C S.R.L.;Rosario Sud;hidraulicacyc.com.ar;hidraulicacyc.com.ar;B
J L Electromecanica S.R.L.;La Rioja;;;B
Industria Metalurgica Barrancas Sa;Barrancas;imbasa.ar;imbasa.ar;B
Metal Noet Srl;Noetinger;piersanti.com.ar;piersanti.com.ar;B
Metalurgica Del Sur S.A;Villa Gobernador Galvez;mds.com.ar;mds.com.ar;B
Metalurgica Sarmiento S R L;Esperanza;metalurgicasarmiento.com;metalurgicasarmiento.com;B
E R A Energias Renovables Argentinas Sa;Piamonte;era.com.ar;era.com.ar;B
Omicron Construcciones Y Montajes S R L;San Lorenzo;omicronsrl.com.ar;omicronsrl.com.ar;B
Metalurgica B.M.B. S.A.;Armstrong;;;B
Electromecanica Bottino Hnos. Sociedad Anonima;General San Martin;ebhsa.com.ar;ebhsa.com.ar;B
Representaciones Mineras S.R.L.;Rosario Sud;;representacionesmineras.com;B
Eco Minera S A;San Juan;ecominera.com.ar;ecominera.com.ar;B
Industria Metalurgica De Pedro Srl;Los Gucheas;mdepedro.com.ar;;B
